"OBJECTID,N,10,0",ADDRESS,NAME,"PLOTS,C,80","ORGANIZATI,C,80",XCOORD,YCOORD,"MAR_ID,N,10,0","CONTACT,C,80","PHONE,C,80","EMAIL,C,80","CONTACT2,C,80","WEB_URL,C,80","COMMENTS,C,80",LATITUDE,LONGITUDE
1,1301 C STREET SE,13th Street Community Park & Garden,,,401055.59,135262.13,290383,,,,,,,38.88519281,-76.98809696
2,2412 RAND PLACE NE,Arboretum Youth Garden,7,DPR,402500.41,138428.3,296167,,,,,,,38.91339294,-76.97113277
3,140 ROCK CREEK CHURCH RD NW,Armed Forces Retirement Home Community-Resident Garden,,,0,0,0,,,,,,,38.93669279,-77.01828802
4,260 54TH STREET NE,Beet St Garden - Richardson Dwellings,,,406622.17,136122.41,150458,,,,,,,38.8928598,-76.9240344
5,FABLE STREET SE AND SOUTHERN AVENUE SE,Benning Garden,16,DPR,406247.71,134652.08,308760,,,benningcommunitygarden@gmail.com,,http://dpr.dc.gov/page/dpr-community-gardens,,38.87970319,-76.92839488
6,2220 MARTIN LUTHER KING JR AVENUE SE,Bethel Christian Fellowship (11th St Bridge Park Plot),,,400876.07,132921.52,50017,,,,,,,38.86413307,-76.98968363
7,NICHOLSON STREET NW AND BLAIR ROAD NW,Blair Road Community Garden,,NPS,399198.17,143586.29,18636,,,,,,,38.96058095,-77.00834484
8,935 K STREET NW,Brainfood Youth Garden,,Brainfood,397791,137213.76,0,,,,,,,38.90266594,-77.02485911
9,1525 7TH STREET NW,Bread for the City Rooftop Garden,,Bread for the City,398124.44,138052.42,297622,,,,,,,38.91012189,-77.02165539
10,3000 GEORGIA AVE NW,Bruce Monroe,214,DPR,397947.85,140075.75,308626,,,,,,,38.92820932,-77.02451409
11,4900 PUERTO RICO AVENUE NE,CAFB Urban Demonstration Garden,,Capital Area Food Bank,400047.08,142156.04,288297,,,,,,,38.94919459,-77.00055672
12,5314 DIX STREET NE,Dix St Garden (SoilFul Gardens),,DPR,406591.56,136367.88,288592,,,,,,,38.89509486,-76.92368699
13,1898 STANTON TERRACE SE,Douglass Garden,9,DPR,401930.33,131647.8,286513,,,friendsofdouglasscc@gmail.com,,http://dpr.dc.gov/page/dpr-community-gardens,,38.85283586,-76.97781102
14,301 FRANKLIN STREET NE,Edgewood Gardens,10,DPR,399824.25,139649.91,289734,,,info@edgewooddc.org,,http://edgewoodcommunitygardendc.blogspot.com/,,38.92470284,-77.00177512
15,9TH STREET NW AND MISSOURI AVENUE NW,Emery Garden,40,DPR,397750.93,143599.5,902554,,387-3984,,Alice Martin,http://dpr.dc.gov/page/dpr-community-gardens,,38.95982689,-77.02625777
16,14TH STREET NW AND EUCLID STREET NW,Euclid Street Garden,40,DPR,397212.68,139543.72,903476,,,,,,,38.9233315,-77.03281326
17,3999 8TH STREET SE,Ferebee Hope Community Garden,11,DPR,400419.94,129394.95,294588,,,,,,,38.83277648,-76.99676097
